GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Riak Client for Java,com.basho.riak.client.api.commands.datatypes,UpdateMap.Builder,17,15,3,1,5,5,3,3,1,3
Riak Client for Java,com.basho.riak.client.api.commands.datatypes,RegisterUpdate,33,0,0,0,12,0,6,0,6,0
Riak Client for Java,com.basho.riak.client.api.commands.datatypes,UpdateDatatype,6,160,3,17,1,32,3,9,0,2
Riak Client for Java,com.basho.riak.client.api.commands.datatypes,FetchDatatype.Builder,11,22,1,1,2,7,2,2,1,2
Riak Client for Java,com.basho.riak.client.api.commands.datatypes,UpdateSet.Response,6,0,0,0,2,0,1,0,1,0
Riak Client for Java,com.basho.riak.client.api.commands.datatypes,FetchSet.Response,5,0,0,0,2,0,1,0,1,0
Riak Client for Java,com.basho.riak.client.api.commands.datatypes,UpdateDatatype.Builder,61,40,7,3,15,13,8,3,3,3
Riak Client for Java,com.basho.riak.client.api.commands.datatypes,FlagUpdate,24,0,0,0,8,0,4,0,4,0
Riak Client for Java,com.basho.riak.client.api.commands.datatypes,UpdateCounter.Builder,32,0,4,0,10,0,6,0,4,0
Riak Client for Java,com.basho.riak.client.api.commands.datatypes,HllUpdate,93,0,8,0,22,0,12,0,8,0
Riak Client for Java,com.basho.riak.client.api.commands.datatypes,FetchDatatype.Response,13,9,2,0,3,4,4,1,3,1
Riak Client for Java,com.basho.riak.client.api.commands.datatypes,UpdateDatatype.Option,0,40,0,0,0,9,0,2,0,2
Riak Client for Java,com.basho.riak.client.api.commands.datatypes,FetchCounter,31,0,2,0,9,0,4,0,3,0
Riak Client for Java,com.basho.riak.client.api.commands.datatypes,FetchDatatype.Option,0,45,0,0,0,10,0,2,0,2
Riak Client for Java,com.basho.riak.client.api.commands.datatypes,FetchCounter.Builder,12,0,0,0,4,0,3,0,3,0
Riak Client for Java,com.basho.riak.client.api.commands.datatypes,SetUpdate,72,0,0,0,16,0,9,0,9,0
Riak Client for Java,com.basho.riak.client.api.commands.datatypes,UpdateMap.Response,0,6,0,0,0,2,0,1,0,1
Riak Client for Java,com.basho.riak.client.api.commands.datatypes,UpdateDatatype.Response,30,12,6,0,6,5,9,1,6,1
Riak Client for Java,com.basho.riak.client.api.commands.datatypes,Context,9,0,0,0,4,0,2,0,2,0
Riak Client for Java,com.basho.riak.client.api.commands.datatypes,UpdateHll.Builder,34,0,4,0,11,0,7,0,5,0
Riak Client for Java,com.basho.riak.client.api.commands.datatypes,CounterUpdate,24,0,0,0,8,0,4,0,4,0
Riak Client for Java,com.basho.riak.client.api.commands.datatypes,FetchMap.Response,0,5,0,0,0,2,0,1,0,1
Riak Client for Java,com.basho.riak.client.api.commands.datatypes,UpdateCounter,42,0,6,0,12,0,5,0,2,0
Riak Client for Java,com.basho.riak.client.api.commands.datatypes,FetchMap,6,25,1,1,1,8,1,3,0,3
Riak Client for Java,com.basho.riak.client.api.commands.datatypes,FetchHll.Builder,12,0,0,0,4,0,3,0,3,0
Riak Client for Java,com.basho.riak.client.api.commands.datatypes,MapUpdate,165,21,0,0,30,5,10,2,10,2
Riak Client for Java,com.basho.riak.client.api.commands.datatypes,UpdateSet.Builder,32,0,4,0,10,0,6,0,4,0
